session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756620083,0,3.465616828,2.147207489,-0.168207249,-2.941409626,3.26032207,2.174787346,-2.478836927,0.333013706,2.99541316,2.504495957,-3.266688325,4.065757064,2.890069203,2.356374334,-1.538043698,-2.162606539,2.912541845,2.404766101,0.277167231,0.596841805
S1,1756620084,0,3.26032207,2.174787346,-2.478836927,0.333013706,2.99541316,2.504495957,-3.266688325,4.065757064,2.890069203,2.356374334,-1.538043698,-2.162606539,2.912541845,2.404766101,0.277167231,0.596841805,3.17926092,2.389079321,3.237600016,-0.190415778
S1,1756620085,0,2.99541316,2.504495957,-3.266688325,4.065757064,2.890069203,2.356374334,-1.538043698,-2.162606539,2.912541845,2.404766101,0.277167231,0.596841805,3.17926092,2.389079321,3.237600016,-0.190415778,3.512406582,2.33173755,4.375247935,-0.753077389
S1,1756620086,0,2.890069203,2.356374334,-1.538043698,-2.162606539,2.912541845,2.404766101,0.277167231,0.596841805,3.17926092,2.389079321,3.237600016,-0.190415778,3.512406582,2.33173755,4.375247935,-0.753077389,3.606272314,2.145972973,1.132732047,-2.241728546
S1,1756620087,0,2.912541845,2.404766101,0.277167231,0.596841805,3.17926092,2.389079321,3.237600016,-0.190415778,3.512406582,2.33173755,4.375247935,-0.753077389,3.606272314,2.145972973,1.132732047,-2.241728546,3.624058498,2.198590458,0.257775226,0.762585354
S1,1756620088,0,3.17926092,2.389079321,3.237600016,-0.190415778,3.512406582,2.33173755,4.375247935,-0.753077389,3.606272314,2.145972973,1.132732047,-2.241728546,3.624058498,2.198590458,0.257775226,0.762585354,3.564393357,2.388493249,-0.892784495,2.841563134
S1,1756620089,0,3.512406582,2.33173755,4.375247935,-0.753077389,3.606272314,2.145972973,1.132732047,-2.241728546,3.624058498,2.198590458,0.257775226,0.762585354,3.564393357,2.388493249,-0.892784495,2.841563134,3.649657518,2.433105012,1.079071789,0.564590025
S1,1756620090,0,3.606272314,2.145972973,1.132732047,-2.241728546,3.624058498,2.198590458,0.257775226,0.762585354,3.564393357,2.388493249,-0.892784495,2.841563134,3.649657518,2.433105012,1.079071789,0.564590025,3.547421599,2.341836886,-1.312247992,-1.171471008
S1,1756620091,0,3.624058498,2.198590458,0.257775226,0.762585354,3.564393357,2.388493249,-0.892784495,2.841563134,3.649657518,2.433105012,1.079071789,0.564590025,3.547421599,2.341836886,-1.312247992,-1.171471008,3.623989514,1.683240922,0.980368503,-8.432601769
S1,1756620093,0,3.564393357,2.388493249,-0.892784495,2.841563134,3.649657518,2.433105012,1.079071789,0.564590025,3.547421599,2.341836886,-1.312247992,-1.171471008,3.623989514,1.683240922,0.980368503,-8.432601769,4.036991454,1.047520883,5.741954123,-8.838397466
S1,1756620094,1,3.649657518,2.433105012,1.079071789,0.564590025,3.547421599,2.341836886,-1.312247992,-1.171471008,3.623989514,1.683240922,0.980368503,-8.432601769,4.036991454,1.047520883,5.741954123,-8.838397466,5.261368643,0.286356421,18.57271039,-11.54618628
S1,1756620095,1,3.547421599,2.341836886,-1.312247992,-1.171471008,3.623989514,1.683240922,0.980368503,-8.432601769,4.036991454,1.047520883,5.741954123,-8.838397466,5.261368643,0.286356421,18.57271039,-11.54618628,5.43589919,0.670074623,2.190958137,4.816982088
