session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756620578,0,3.16689122,2.535586717,-0.601573665,1.212195146,3.141591953,2.503916932,-0.374229648,-0.468463087,3.17227048,2.502658586,0.428689691,-0.017583621,3.168927263,2.478326048,-0.043533032,-0.316841285,3.180251562,2.431871707,0.13836509,-0.567598841
S1,1756620579,0,3.141591953,2.503916932,-0.374229648,-0.468463087,3.17227048,2.502658586,0.428689691,-0.017583621,3.168927263,2.478326048,-0.043533032,-0.316841285,3.180251562,2.431871707,0.13836509,-0.567598841,3.192256255,2.447549795,0.154567627,0.201864793
S1,1756620580,0,3.17227048,2.502658586,0.428689691,-0.017583621,3.168927263,2.478326048,-0.043533032,-0.316841285,3.180251562,2.431871707,0.13836509,-0.567598841,3.192256255,2.447549795,0.154567627,0.201864793,3.318207347,2.368649404,1.554895111,-0.974043419
S1,1756620581,0,3.168927263,2.478326048,-0.043533032,-0.316841285,3.180251562,2.431871707,0.13836509,-0.567598841,3.192256255,2.447549795,0.154567627,0.201864793,3.318207347,2.368649404,1.554895111,-0.974043419,3.417908717,2.298281967,1.237380989,-0.87332129
S1,1756620582,0,3.180251562,2.431871707,0.13836509,-0.567598841,3.192256255,2.447549795,0.154567627,0.201864793,3.318207347,2.368649404,1.554895111,-0.974043419,3.417908717,2.298281967,1.237380989,-0.87332129,3.336540124,2.152324325,-1.138381897,-2.042010693
S1,1756620583,0,3.192256255,2.447549795,0.154567627,0.201864793,3.318207347,2.368649404,1.554895111,-0.974043419,3.417908717,2.298281967,1.237380989,-0.87332129,3.336540124,2.152324325,-1.138381897,-2.042010693,3.561025133,1.476787053,2.736801881,-8.23579126
S1,1756620585,0,3.318207347,2.368649404,1.554895111,-0.974043419,3.417908717,2.298281967,1.237380989,-0.87332129,3.336540124,2.152324325,-1.138381897,-2.042010693,3.561025133,1.476787053,2.736801881,-8.23579126,4.310510411,0.824924239,8.032156272,-6.985946421
S1,1756620586,1,3.417908717,2.298281967,1.237380989,-0.87332129,3.336540124,2.152324325,-1.138381897,-2.042010693,3.561025133,1.476787053,2.736801881,-8.23579126,4.310510411,0.824924239,8.032156272,-6.985946421,5.40048146,0.751797845,13.1990713,-0.885528552
S1,1756620587,1,3.336540124,2.152324325,-1.138381897,-2.042010693,3.561025133,1.476787053,2.736801881,-8.23579126,4.310510411,0.824924239,8.032156272,-6.985946421,5.40048146,0.751797845,13.1990713,-0.885528552,5.675253298,1.004241007,3.458678444,3.177617209
S1,1756620588,0,3.561025133,1.476787053,2.736801881,-8.23579126,4.310510411,0.824924239,8.032156272,-6.985946421,5.40048146,0.751797845,13.1990713,-0.885528552,5.675253298,1.004241007,3.458678444,3.177617209,5.535431329,0.735527022,-1.772187538,-3.405842289
S1,1756620589,1,4.310510411,0.824924239,8.032156272,-6.985946421,5.40048146,0.751797845,13.1990713,-0.885528552,5.675253298,1.004241007,3.458678444,3.177617209,5.535431329,0.735527022,-1.772187538,-3.405842289,4.341808379,0.742495791,-14.62530532,0.085387415
S1,1756620590,1,5.40048146,0.751797845,13.1990713,-0.885528552,5.675253298,1.004241007,3.458678444,3.177617209,5.535431329,0.735527022,-1.772187538,-3.405842289,4.341808379,0.742495791,-14.62530532,0.085387415,3.700054054,1.300153837,-8.040267561,6.986660968
S1,1756620591,0,5.675253298,1.004241007,3.458678444,3.177617209,5.535431329,0.735527022,-1.772187538,-3.405842289,4.341808379,0.742495791,-14.62530532,0.085387415,3.700054054,1.300153837,-8.040267561,6.986660968,3.190250774,1.810441935,-6.46440472,6.470552308
S1,1756620592,0,5.535431329,0.735527022,-1.772187538,-3.405842289,4.341808379,0.742495791,-14.62530532,0.085387415,3.700054054,1.300153837,-8.040267561,6.986660968,3.190250774,1.810441935,-6.46440472,6.470552308,3.070065146,1.930103624,-1.295477887,1.289830364
S1,1756620593,0,4.341808379,0.742495791,-14.62530532,0.085387415,3.700054054,1.300153837,-8.040267561,6.986660968,3.190250774,1.810441935,-6.46440472,6.470552308,3.070065146,1.930103624,-1.295477887,1.289830364,3.265532116,1.750342824,2.828349091,-2.601085477
S1,1756620594,0,3.700054054,1.300153837,-8.040267561,6.986660968,3.190250774,1.810441935,-6.46440472,6.470552308,3.070065146,1.930103624,-1.295477887,1.289830364,3.265532116,1.750342824,2.828349091,-2.601085477,2.830017668,2.170023041,-5.173133485,4.985051121
S1,1756620595,0,3.190250774,1.810441935,-6.46440472,6.470552308,3.070065146,1.930103624,-1.295477887,1.289830364,3.265532116,1.750342824,2.828349091,-2.601085477,2.830017668,2.170023041,-5.173133485,4.985051121,2.670018727,2.330021459,-1.980797235,1.980790755
S1,1756620596,0,3.070065146,1.930103624,-1.295477887,1.289830364,3.265532116,1.750342824,2.828349091,-2.601085477,2.830017668,2.170023041,-5.173133485,4.985051121,2.670018727,2.330021459,-1.980797235,1.980790755,2.920428051,2.080600875,3.592107879,-3.577924459
S1,1756620597,0,3.265532116,1.750342824,2.828349091,-2.601085477,2.830017668,2.170023041,-5.173133485,4.985051121,2.670018727,2.330021459,-1.980797235,1.980790755,2.920428051,2.080600875,3.592107879,-3.577924459,3.160063291,1.840108692,2.948796089,-2.959341069
S1,1756620598,0,2.830017668,2.170023041,-5.173133485,4.985051121,2.670018727,2.330021459,-1.980797235,1.980790755,2.920428051,2.080600875,3.592107879,-3.577924459,3.160063291,1.840108692,2.948796089,-2.959341069,3.600888779,1.402283851,4.793966331,-4.761334362
S1,1756620599,0,2.670018727,2.330021459,-1.980797235,1.980790755,2.920428051,2.080600875,3.592107879,-3.577924459,3.160063291,1.840108692,2.948796089,-2.959341069,3.600888779,1.402283851,4.793966331,-4.761334362,4.060012315,0.94005319,5.43937995,-5.476191035
S1,1756620600,0,2.920428051,2.080600875,3.592107879,-3.577924459,3.160063291,1.840108692,2.948796089,-2.959341069,3.600888779,1.402283851,4.793966331,-4.761334362,4.060012315,0.94005319,5.43937995,-5.476191035,4.465926556,0.586941224,4.726040467,-4.111266067
S1,1756620601,1,3.160063291,1.840108692,2.948796089,-2.959341069,3.600888779,1.402283851,4.793966331,-4.761334362,4.060012315,0.94005319,5.43937995,-5.476191035,4.465926556,0.586941224,4.726040467,-4.111266067,5.322602747,0.574543297,10.47880237,-0.15165056
S1,1756620602,1,3.600888779,1.402283851,4.793966331,-4.761334362,4.060012315,0.94005319,5.43937995,-5.476191035,4.465926556,0.586941224,4.726040467,-4.111266067,5.322602747,0.574543297,10.47880237,-0.15165056,5.654255035,1.034698024,3.618108401,5.019985515
S1,1756620603,0,4.060012315,0.94005319,5.43937995,-5.476191035,4.465926556,0.586941224,4.726040467,-4.111266067,5.322602747,0.574543297,10.47880237,-0.15165056,5.654255035,1.034698024,3.618108401,5.019985515,5.956282398,1.475567687,3.617346018,5.280243844
S1,1756620604,0,4.465926556,0.586941224,4.726040467,-4.111266067,5.322602747,0.574543297,10.47880237,-0.15165056,5.654255035,1.034698024,3.618108401,5.019985515,5.956282398,1.475567687,3.617346018,5.280243844,5.960285228,1.55724115,0.042900771,0.875344214
S1,1756620605,0,5.322602747,0.574543297,10.47880237,-0.15165056,5.654255035,1.034698024,3.618108401,5.019985515,5.956282398,1.475567687,3.617346018,5.280243844,5.960285228,1.55724115,0.042900771,0.875344214,5.650884886,0.855862138,-3.853920507,-8.736444641
S1,1756620606,1,5.654255035,1.034698024,3.618108401,5.019985515,5.956282398,1.475567687,3.617346018,5.280243844,5.960285228,1.55724115,0.042900771,0.875344214,5.650884886,0.855862138,-3.853920507,-8.736444641,4.627094121,0.640312424,-13.09720738,-2.757496364
S1,1756620607,1,5.956282398,1.475567687,3.617346018,5.280243844,5.960285228,1.55724115,0.042900771,0.875344214,5.650884886,0.855862138,-3.853920507,-8.736444641,4.627094121,0.640312424,-13.09720738,-2.757496364,4.162355103,0.851586754,-4.898860824,2.22706401
S1,1756620608,0,5.960285228,1.55724115,0.042900771,0.875344214,5.650884886,0.855862138,-3.853920507,-8.736444641,4.627094121,0.640312424,-13.09720738,-2.757496364,4.162355103,0.851586754,-4.898860824,2.22706401,3.760119679,1.24036285,-4.37781907,4.231331471
S1,1756620609,0,5.650884886,0.855862138,-3.853920507,-8.736444641,4.627094121,0.640312424,-13.09720738,-2.757496364,4.162355103,0.851586754,-4.898860824,2.22706401,3.760119679,1.24036285,-4.37781907,4.231331471,3.470922068,1.532090076,-3.610132019,3.641709879
S1,1756620611,0,4.627094121,0.640312424,-13.09720738,-2.757496364,4.162355103,0.851586754,-4.898860824,2.22706401,3.760119679,1.24036285,-4.37781907,4.231331471,3.470922068,1.532090076,-3.610132019,3.641709879,3.32073787,1.681457701,-1.582029284,1.573427568
S1,1756620612,0,4.162355103,0.851586754,-4.898860824,2.22706401,3.760119679,1.24036285,-4.37781907,4.231331471,3.470922068,1.532090076,-3.610132019,3.641709879,3.32073787,1.681457701,-1.582029284,1.573427568,3.380236678,1.620493752,0.770643952,-0.789620833
S1,1756620613,0,3.760119679,1.24036285,-4.37781907,4.231331471,3.470922068,1.532090076,-3.610132019,3.641709879,3.32073787,1.681457701,-1.582029284,1.573427568,3.380236678,1.620493752,0.770643952,-0.789620833,3.610346244,1.39089899,3.242456063,-3.235202005
S1,1756620614,0,3.470922068,1.532090076,-3.610132019,3.641709879,3.32073787,1.681457701,-1.582029284,1.573427568,3.380236678,1.620493752,0.770643952,-0.789620833,3.610346244,1.39089899,3.242456063,-3.235202005,3.960012626,1.040048076,4.742479706,-4.758545354
S1,1756620615,1,3.32073787,1.681457701,-1.582029284,1.573427568,3.380236678,1.620493752,0.770643952,-0.789620833,3.610346244,1.39089899,3.242456063,-3.235202005,3.960012626,1.040048076,4.742479706,-4.758545354,5.169342318,0.567538545,13.00742232,-5.082262563
S1,1756620616,1,3.380236678,1.620493752,0.770643952,-0.789620833,3.610346244,1.39089899,3.242456063,-3.235202005,3.960012626,1.040048076,4.742479706,-4.758545354,5.169342318,0.567538545,13.00742232,-5.082262563,5.232762177,0.286006993,0.790050694,-3.507169547
S1,1756620617,0,3.610346244,1.39089899,3.242456063,-3.235202005,3.960012626,1.040048076,4.742479706,-4.758545354,5.169342318,0.567538545,13.00742232,-5.082262563,5.232762177,0.286006993,0.790050694,-3.507169547,5.735895745,1.140394669,6.556806748,11.13432939
S1,1756620618,0,3.960012626,1.040048076,4.742479706,-4.758545354,5.169342318,0.567538545,13.00742232,-5.082262563,5.232762177,0.286006993,0.790050694,-3.507169547,5.735895745,1.140394669,6.556806748,11.13432939,5.714866578,1.029417311,-0.249076502,-1.31445298
S1,1756620619,0,5.169342318,0.567538545,13.00742232,-5.082262563,5.232762177,0.286006993,0.790050694,-3.507169547,5.735895745,1.140394669,6.556806748,11.13432939,5.714866578,1.029417311,-0.249076502,-1.31445298,5.382685204,0.416293166,-4.380593502,-8.085485384
S1,1756620620,0,5.232762177,0.286006993,0.790050694,-3.507169547,5.735895745,1.140394669,6.556806748,11.13432939,5.714866578,1.029417311,-0.249076502,-1.31445298,5.382685204,0.416293166,-4.380593502,-8.085485384,5.480556541,0.5800862,1.312791875,2.197028981
