session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756553197,0,3.730201067,1.647543626,1.148822879,-7.354504437,4.229952718,0.996242942,6.609458187,-8.613767709,5.674592496,0.949210198,15.60614741,-0.508085096,5.838852627,1.480607983,2.365484845,7.652577668,5.247666148,0.859069264,-8.910026461,-9.367478169
S1,1756553198,1,4.229952718,0.996242942,6.609458187,-8.613767709,5.674592496,0.949210198,15.60614741,-0.508085096,5.838852627,1.480607983,2.365484845,7.652577668,5.247666148,0.859069264,-8.910026461,-9.367478169,4.000924893,1.30667517,-16.94517049,6.08366681
S1,1756553200,1,5.674592496,0.949210198,15.60614741,-0.508085096,5.838852627,1.480607983,2.365484845,7.652577668,5.247666148,0.859069264,-8.910026461,-9.367478169,4.000924893,1.30667517,-16.94517049,6.08366681,3.449478221,1.897076699,-6.275769857,6.719097795
S1,1756553201,0,5.838852627,1.480607983,2.365484845,7.652577668,5.247666148,0.859069264,-8.910026461,-9.367478169,4.000924893,1.30667517,-16.94517049,6.08366681,3.449478221,1.897076699,-6.275769857,6.719097795,3.405201903,1.973676772,-0.477971914,0.82691346
S1,1756553202,0,5.247666148,0.859069264,-8.910026461,-9.367478169,4.000924893,1.30667517,-16.94517049,6.08366681,3.449478221,1.897076699,-6.275769857,6.719097795,3.405201903,1.973676772,-0.477971914,0.82691346,3.368159735,2.060218435,-0.428023509,0.999991856
S1,1756553203,0,4.000924893,1.30667517,-16.94517049,6.08366681,3.449478221,1.897076699,-6.275769857,6.719097795,3.405201903,1.973676772,-0.477971914,0.82691346,3.368159735,2.060218435,-0.428023509,0.999991856,3.378431589,1.764596271,0.128194281,-3.689409079
S1,1756553204,0,3.449478221,1.897076699,-6.275769857,6.719097795,3.405201903,1.973676772,-0.477971914,0.82691346,3.368159735,2.060218435,-0.428023509,0.999991856,3.378431589,1.764596271,0.128194281,-3.689409079,3.341751038,1.693310367,-0.5349943,-1.039721362
S1,1756553205,0,3.405201903,1.973676772,-0.477971914,0.82691346,3.368159735,2.060218435,-0.428023509,0.999991856,3.378431589,1.764596271,0.128194281,-3.689409079,3.341751038,1.693310367,-0.5349943,-1.039721362,3.426076473,1.714059509,1.042262329,0.256459378
S1,1756553206,0,3.368159735,2.060218435,-0.428023509,0.999991856,3.378431589,1.764596271,0.128194281,-3.689409079,3.341751038,1.693310367,-0.5349943,-1.039721362,3.426076473,1.714059509,1.042262329,0.256459378,3.93029261,1.359117361,6.385874976,-4.495326542
S1,1756553207,0,3.378431589,1.764596271,0.128194281,-3.689409079,3.341751038,1.693310367,-0.5349943,-1.039721362,3.426076473,1.714059509,1.042262329,0.256459378,3.93029261,1.359117361,6.385874976,-4.495326542,4.034860592,1.174776575,1.225577054,-2.160545058
S1,1756553208,1,3.341751038,1.693310367,-0.5349943,-1.039721362,3.426076473,1.714059509,1.042262329,0.256459378,3.93029261,1.359117361,6.385874976,-4.495326542,4.034860592,1.174776575,1.225577054,-2.160545058,5.205573936,0.947628619,15.32313001,-2.973074212
S1,1756553209,1,3.426076473,1.714059509,1.042262329,0.256459378,3.93029261,1.359117361,6.385874976,-4.495326542,4.034860592,1.174776575,1.225577054,-2.160545058,5.205573936,0.947628619,15.32313001,-2.973074212,5.794109077,1.082450923,7.339460113,1.681331918
S1,1756553210,0,3.93029261,1.359117361,6.385874976,-4.495326542,4.034860592,1.174776575,1.225577054,-2.160545058,5.205573936,0.947628619,15.32313001,-2.973074212,5.794109077,1.082450923,7.339460113,1.681331918,6.024699163,1.482228053,2.822858385,4.894027521
S1,1756553211,0,4.034860592,1.174776575,1.225577054,-2.160545058,5.205573936,0.947628619,15.32313001,-2.973074212,5.794109077,1.082450923,7.339460113,1.681331918,6.024699163,1.482228053,2.822858385,4.894027521,5.833738081,1.110180166,-2.217183935,-4.319721024
S1,1756553212,0,5.205573936,0.947628619,15.32313001,-2.973074212,5.794109077,1.082450923,7.339460113,1.681331918,6.024699163,1.482228053,2.822858385,4.894027521,5.833738081,1.110180166,-2.217183935,-4.319721024,5.798706752,1.060660172,-0.414693261,-0.586206929
S1,1756553213,0,5.794109077,1.082450923,7.339460113,1.681331918,6.024699163,1.482228053,2.822858385,4.894027521,5.833738081,1.110180166,-2.217183935,-4.319721024,5.798706752,1.060660172,-0.414693261,-0.586206929,5.788790893,1.053612832,-0.124681865,-0.088613139
S1,1756553214,0,6.024699163,1.482228053,2.822858385,4.894027521,5.833738081,1.110180166,-2.217183935,-4.319721024,5.798706752,1.060660172,-0.414693261,-0.586206929,5.788790893,1.053612832,-0.124681865,-0.088613139,5.820927761,1.132784181,0.477974921,1.177523542
S1,1756553215,0,5.833738081,1.110180166,-2.217183935,-4.319721024,5.798706752,1.060660172,-0.414693261,-0.586206929,5.788790893,1.053612832,-0.124681865,-0.088613139,5.820927761,1.132784181,0.477974921,1.177523542,5.114762947,0.98020406,-7.473486896,-1.61478667
S1,1756553216,1,5.798706752,1.060660172,-0.414693261,-0.586206929,5.788790893,1.053612832,-0.124681865,-0.088613139,5.820927761,1.132784181,0.477974921,1.177523542,5.114762947,0.98020406,-7.473486896,-1.61478667,3.965652531,1.235475617,-14.22912716,3.160959461
S1,1756553217,0,5.788790893,1.053612832,-0.124681865,-0.088613139,5.820927761,1.132784181,0.477974921,1.177523542,5.114762947,0.98020406,-7.473486896,-1.61478667,3.965652531,1.235475617,-14.22912716,3.160959461,3.570224083,1.745422585,-4.681418879,6.037186678
S1,1756553218,0,5.820927761,1.132784181,0.477974921,1.177523542,5.114762947,0.98020406,-7.473486896,-1.61478667,3.965652531,1.235475617,-14.22912716,3.160959461,3.570224083,1.745422585,-4.681418879,6.037186678,3.465977496,1.820164828,-1.299014771,0.931361689
S1,1756553219,0,5.114762947,0.98020406,-7.473486896,-1.61478667,3.965652531,1.235475617,-14.22912716,3.160959461,3.570224083,1.745422585,-4.681418879,6.037186678,3.465977496,1.820164828,-1.299014771,0.931361689,3.40124977,1.992109435,-0.809046704,2.149175132
S1,1756553220,0,3.965652531,1.235475617,-14.22912716,3.160959461,3.570224083,1.745422585,-4.681418879,6.037186678,3.465977496,1.820164828,-1.299014771,0.931361689,3.40124977,1.992109435,-0.809046704,2.149175132,3.380902246,2.128497122,-0.247154547,1.65665549
S1,1756553221,0,3.570224083,1.745422585,-4.681418879,6.037186678,3.465977496,1.820164828,-1.299014771,0.931361689,3.40124977,1.992109435,-0.809046704,2.149175132,3.380902246,2.128497122,-0.247154547,1.65665549,3.403527582,2.642725865,0.282093954,6.411432902
S1,1756553222,0,3.465977496,1.820164828,-1.299014771,0.931361689,3.40124977,1.992109435,-0.809046704,2.149175132,3.380902246,2.128497122,-0.247154547,1.65665549,3.403527582,2.642725865,0.282093954,6.411432902,3.663795846,2.81485346,3.919432362,2.592104212
S1,1756553223,0,3.40124977,1.992109435,-0.809046704,2.149175132,3.380902246,2.128497122,-0.247154547,1.65665549,3.403527582,2.642725865,0.282093954,6.411432902,3.663795846,2.81485346,3.919432362,2.592104212,3.544587423,2.822073706,-1.700887749,0.103019799
S1,1756553224,0,3.380902246,2.128497122,-0.247154547,1.65665549,3.403527582,2.642725865,0.282093954,6.411432902,3.663795846,2.81485346,3.919432362,2.592104212,3.544587423,2.822073706,-1.700887749,0.103019799,3.404893537,2.982163644,-1.654828829,1.896442666
S1,1756553226,0,3.403527582,2.642725865,0.282093954,6.411432902,3.663795846,2.81485346,3.919432362,2.592104212,3.544587423,2.822073706,-1.700887749,0.103019799,3.404893537,2.982163644,-1.654828829,1.896442666,3.399117533,2.520714185,-0.060578218,-4.839640411
S1,1756553227,0,3.663795846,2.81485346,3.919432362,2.592104212,3.544587423,2.822073706,-1.700887749,0.103019799,3.404893537,2.982163644,-1.654828829,1.896442666,3.399117533,2.520714185,-0.060578218,-4.839640411,4.261854057,1.861021225,9.951622872,-7.609525459
S1,1756553228,0,3.544587423,2.822073706,-1.700887749,0.103019799,3.404893537,2.982163644,-1.654828829,1.896442666,3.399117533,2.520714185,-0.060578218,-4.839640411,4.261854057,1.861021225,9.951622872,-7.609525459,3.830509105,1.368502832,-5.554677709,-6.342443393
S1,1756553229,1,3.404893537,2.982163644,-1.654828829,1.896442666,3.399117533,2.520714185,-0.060578218,-4.839640411,4.261854057,1.861021225,9.951622872,-7.609525459,3.830509105,1.368502832,-5.554677709,-6.342443393,5.25815557,0.740405294,16.97009616,-7.466046995
S1,1756553230,1,3.399117533,2.520714185,-0.060578218,-4.839640411,4.261854057,1.861021225,9.951622872,-7.609525459,3.830509105,1.368502832,-5.554677709,-6.342443393,5.25815557,0.740405294,16.97009616,-7.466046995,5.662102083,0.747930478,5.518054453,0.102796711
S1,1756553231,0,4.261854057,1.861021225,9.951622872,-7.609525459,3.830509105,1.368502832,-5.554677709,-6.342443393,5.25815557,0.740405294,16.97009616,-7.466046995,5.662102083,0.747930478,5.518054453,0.102796711,5.570718087,0.73,-1.119683405,-0.219693376
S1,1756553232,0,3.830509105,1.368502832,-5.554677709,-6.342443393,5.25815557,0.740405294,16.97009616,-7.466046995,5.662102083,0.747930478,5.518054453,0.102796711,5.570718087,0.73,-1.119683405,-0.219693376,5.326649979,0.879317917,-2.926709988,1.790525788
S1,1756553233,1,5.25815557,0.740405294,16.97009616,-7.466046995,5.662102083,0.747930478,5.518054453,0.102796711,5.570718087,0.73,-1.119683405,-0.219693376,5.326649979,0.879317917,-2.926709988,1.790525788,3.982084881,1.075639345,-16.09744579,2.350405747
S1,1756553234,1,5.662102083,0.747930478,5.518054453,0.102796711,5.570718087,0.73,-1.119683405,-0.219693376,5.326649979,0.879317917,-2.926709988,1.790525788,3.982084881,1.075639345,-16.09744579,2.350405747,3.733430058,1.280039062,-3.069700804,2.523361377
S1,1756553235,0,5.570718087,0.73,-1.119683405,-0.219693376,5.326649979,0.879317917,-2.926709988,1.790525788,3.982084881,1.075639345,-16.09744579,2.350405747,3.733430058,1.280039062,-3.069700804,2.523361377,4.804008743,0.88232647,15.40295982,-5.722093256
S1,1756553236,1,5.326649979,0.879317917,-2.926709988,1.790525788,3.982084881,1.075639345,-16.09744579,2.350405747,3.733430058,1.280039062,-3.069700804,2.523361377,4.804008743,0.88232647,15.40295982,-5.722093256,5.434822904,0.858661749,9.341287815,-0.350434376
S1,1756553237,1,3.982084881,1.075639345,-16.09744579,2.350405747,3.733430058,1.280039062,-3.069700804,2.523361377,4.804008743,0.88232647,15.40295982,-5.722093256,5.434822904,0.858661749,9.341287815,-0.350434376,5.534482812,0.728354309,1.459195116,-1.907928511
S1,1756553238,0,3.733430058,1.280039062,-3.069700804,2.523361377,4.804008743,0.88232647,15.40295982,-5.722093256,5.434822904,0.858661749,9.341287815,-0.350434376,5.534482812,0.728354309,1.459195116,-1.907928511,5.480191602,0.657647322,-0.670592714,-0.873356678
S1,1756553239,0,4.804008743,0.88232647,15.40295982,-5.722093256,5.434822904,0.858661749,9.341287815,-0.350434376,5.534482812,0.728354309,1.459195116,-1.907928511,5.480191602,0.657647322,-0.670592714,-0.873356678,5.544447673,0.664003012,0.885501594,0.087586647
S1,1756553240,0,5.434822904,0.858661749,9.341287815,-0.350434376,5.534482812,0.728354309,1.459195116,-1.907928511,5.480191602,0.657647322,-0.670592714,-0.873356678,5.544447673,0.664003012,0.885501594,0.087586647,5.589749547,0.667308025,0.573384366,0.041831441
S1,1756553241,0,5.534482812,0.728354309,1.459195116,-1.907928511,5.480191602,0.657647322,-0.670592714,-0.873356678,5.544447673,0.664003012,0.885501594,0.087586647,5.589749547,0.667308025,0.573384366,0.041831441,5.265453447,0.651920241,-3.92787735,-0.186376985
S1,1756553242,0,5.480191602,0.657647322,-0.670592714,-0.873356678,5.544447673,0.664003012,0.885501594,0.087586647,5.589749547,0.667308025,0.573384366,0.041831441,5.265453447,0.651920241,-3.92787735,-0.186376985,5.131179202,0.793095202,-1.681431289,1.767844593
S1,1756553243,1,5.544447673,0.664003012,0.885501594,0.087586647,5.589749547,0.667308025,0.573384366,0.041831441,5.265453447,0.651920241,-3.92787735,-0.186376985,5.131179202,0.793095202,-1.681431289,1.767844593,3.707249654,1.464137972,-17.21086356,8.110812481
S1,1756553244,1,5.589749547,0.667308025,0.573384366,0.041831441,5.265453447,0.651920241,-3.92787735,-0.186376985,5.131179202,0.793095202,-1.681431289,1.767844593,3.707249654,1.464137972,-17.21086356,8.110812481,3.383385878,1.909790564,-3.408278759,4.689960338
S1,1756553245,0,5.265453447,0.651920241,-3.92787735,-0.186376985,5.131179202,0.793095202,-1.681431289,1.767844593,3.707249654,1.464137972,-17.21086356,8.110812481,3.383385878,1.909790564,-3.408278759,4.689960338,3.475399258,1.754536976,1.184058679,-1.997854658
S1,1756553246,0,5.131179202,0.793095202,-1.681431289,1.767844593,3.707249654,1.464137972,-17.21086356,8.110812481,3.383385878,1.909790564,-3.408278759,4.689960338,3.475399258,1.754536976,1.184058679,-1.997854658,3.54290841,1.628557644,0.783082192,-1.461315515
S1,1756553247,0,3.707249654,1.464137972,-17.21086356,8.110812481,3.383385878,1.909790564,-3.408278759,4.689960338,3.475399258,1.754536976,1.184058679,-1.997854658,3.54290841,1.628557644,0.783082192,-1.461315515,3.947112869,1.216429201,4.463308209,-4.550806462
S1,1756553248,1,3.383385878,1.909790564,-3.408278759,4.689960338,3.475399258,1.754536976,1.184058679,-1.997854658,3.54290841,1.628557644,0.783082192,-1.461315515,3.947112869,1.216429201,4.463308209,-4.550806462,5.235456045,0.781024968,13.8788868,-4.690463047
S1,1756553249,1,3.475399258,1.754536976,1.184058679,-1.997854658,3.54290841,1.628557644,0.783082192,-1.461315515,3.947112869,1.216429201,4.463308209,-4.550806462,5.235456045,0.781024968,13.8788868,-4.690463047,5.48292805,0.75,3.709708825,-0.465077236
S1,1756553250,0,3.54290841,1.628557644,0.783082192,-1.461315515,3.947112869,1.216429201,4.463308209,-4.550806462,5.235456045,0.781024968,13.8788868,-4.690463047,5.48292805,0.75,3.709708825,-0.465077236,5.569245909,0.78517514,1.081643375,0.440777343
S1,1756553252,0,3.947112869,1.216429201,4.463308209,-4.550806462,5.235456045,0.781024968,13.8788868,-4.690463047,5.48292805,0.75,3.709708825,-0.465077236,5.569245909,0.78517514,1.081643375,0.440777343,5.113003031,0.585491247,-6.889006469,-3.015112557
S1,1756553253,1,5.235456045,0.781024968,13.8788868,-4.690463047,5.48292805,0.75,3.709708825,-0.465077236,5.569245909,0.78517514,1.081643375,0.440777343,5.113003031,0.585491247,-6.889006469,-3.015112557,4.19305378,0.825651258,-10.13034426,2.644606307
S1,1756553254,1,5.48292805,0.75,3.709708825,-0.465077236,5.569245909,0.78517514,1.081643375,0.440777343,5.113003031,0.585491247,-6.889006469,-3.015112557,4.19305378,0.825651258,-10.13034426,2.644606307,4.399568161,0.675425792,2.588568174,-1.883011051
S1,1756553255,1,5.569245909,0.78517514,1.081643375,0.440777343,5.113003031,0.585491247,-6.889006469,-3.015112557,4.19305378,0.825651258,-10.13034426,2.644606307,4.399568161,0.675425792,2.588568174,-1.883011051,5.383270381,0.616116872,12.37068822,-0.745847816
S1,1756553256,1,5.113003031,0.585491247,-6.889006469,-3.015112557,4.19305378,0.825651258,-10.13034426,2.644606307,4.399568161,0.675425792,2.588568174,-1.883011051,5.383270381,0.616116872,12.37068822,-0.745847816,4.657005476,0.76661594,-8.650959331,1.79268103
S1,1756553257,1,4.19305378,0.825651258,-10.13034426,2.644606307,4.399568161,0.675425792,2.588568174,-1.883011051,5.383270381,0.616116872,12.37068822,-0.745847816,4.657005476,0.76661594,-8.650959331,1.79268103,4.767903103,0.657951366,1.231198996,-1.206407368
S1,1756553258,1,4.399568161,0.675425792,2.588568174,-1.883011051,5.383270381,0.616116872,12.37068822,-0.745847816,4.657005476,0.76661594,-8.650959331,1.79268103,4.767903103,0.657951366,1.231198996,-1.206407368,4.894486694,0.596657356,1.336032751,-0.646930653
S1,1756553259,1,5.383270381,0.616116872,12.37068822,-0.745847816,4.657005476,0.76661594,-8.650959331,1.79268103,4.767903103,0.657951366,1.231198996,-1.206407368,4.894486694,0.596657356,1.336032751,-0.646930653,5.594729663,0.633245608,8.995834101,0.470039491
S1,1756553260,1,4.657005476,0.76661594,-8.650959331,1.79268103,4.767903103,0.657951366,1.231198996,-1.206407368,4.894486694,0.596657356,1.336032751,-0.646930653,5.594729663,0.633245608,8.995834101,0.470039491,5.996082054,1.026157883,5.415976901,5.30208328
S1,1756553261,0,4.767903103,0.657951366,1.231198996,-1.206407368,4.894486694,0.596657356,1.336032751,-0.646930653,5.594729663,0.633245608,8.995834101,0.470039491,5.996082054,1.026157883,5.415976901,5.30208328,6.019053082,1.062544117,0.342577318,0.542644359
S1,1756553262,0,4.894486694,0.596657356,1.336032751,-0.646930653,5.594729663,0.633245608,8.995834101,0.470039491,5.996082054,1.026157883,5.415976901,5.30208328,6.019053082,1.062544117,0.342577318,0.542644359,5.974052226,0.994635612,-0.489745092,-0.739049438
S1,1756553263,0,5.594729663,0.633245608,8.995834101,0.470039491,5.996082054,1.026157883,5.415976901,5.30208328,6.019053082,1.062544117,0.342577318,0.542644359,5.974052226,0.994635612,-0.489745092,-0.739049438,6.002682734,1.064048871,0.339369029,0.822783544
S1,1756553264,0,5.996082054,1.026157883,5.415976901,5.30208328,6.019053082,1.062544117,0.342577318,0.542644359,5.974052226,0.994635612,-0.489745092,-0.739049438,6.002682734,1.064048871,0.339369029,0.822783544,5.603588136,0.707248188,-5.85236978,-5.232166875
S1,1756553265,0,6.019053082,1.062544117,0.342577318,0.542644359,5.974052226,0.994635612,-0.489745092,-0.739049438,6.002682734,1.064048871,0.339369029,0.822783544,5.603588136,0.707248188,-5.85236978,-5.232166875,5.392031157,0.523450093,-3.165907718,-2.750501596
S1,1756553266,1,5.974052226,0.994635612,-0.489745092,-0.739049438,6.002682734,1.064048871,0.339369029,0.822783544,5.603588136,0.707248188,-5.85236978,-5.232166875,5.392031157,0.523450093,-3.165907718,-2.750501596,4.66618688,0.687968023,-8.394625174,1.902703369
S1,1756553267,1,6.002682734,1.064048871,0.339369029,0.822783544,5.603588136,0.707248188,-5.85236978,-5.232166875,5.392031157,0.523450093,-3.165907718,-2.750501596,4.66618688,0.687968023,-8.394625174,1.902703369,4.359736231,1.143372205,-3.725687211,5.536596325
S1,1756553268,0,5.603588136,0.707248188,-5.85236978,-5.232166875,5.392031157,0.523450093,-3.165907718,-2.750501596,4.66618688,0.687968023,-8.394625174,1.902703369,4.359736231,1.143372205,-3.725687211,5.536596325,4.616373035,0.900499861,2.905234911,-2.749415518
S1,1756553269,1,5.392031157,0.523450093,-3.165907718,-2.750501596,4.66618688,0.687968023,-8.394625174,1.902703369,4.359736231,1.143372205,-3.725687211,5.536596325,4.616373035,0.900499861,2.905234911,-2.749415518,5.592897281,0.616846821,14.46981234,-4.203076662
S1,1756553270,1,4.66618688,0.687968023,-8.394625174,1.902703369,4.359736231,1.143372205,-3.725687211,5.536596325,4.616373035,0.900499861,2.905234911,-2.749415518,5.592897281,0.616846821,14.46981234,-4.203076662,5.983686155,1.002247474,5.32762787,5.254170229
S1,1756553271,0,4.359736231,1.143372205,-3.725687211,5.536596325,4.616373035,0.900499861,2.905234911,-2.749415518,5.592897281,0.616846821,14.46981234,-4.203076662,5.983686155,1.002247474,5.32762787,5.254170229,6.18190909,1.271219887,2.589876241,3.514251559
S1,1756553272,0,4.616373035,0.900499861,2.905234911,-2.749415518,5.592897281,0.616846821,14.46981234,-4.203076662,5.983686155,1.002247474,5.32762787,5.254170229,6.18190909,1.271219887,2.589876241,3.514251559,5.931424787,0.939042065,-3.464915147,-4.594970418
S1,1756553273,0,5.592897281,0.616846821,14.46981234,-4.203076662,5.983686155,1.002247474,5.32762787,5.254170229,6.18190909,1.271219887,2.589876241,3.514251559,5.931424787,0.939042065,-3.464915147,-4.594970418,5.693873901,0.721248917,-3.624223421,-3.322787143
S1,1756553274,0,5.983686155,1.002247474,5.32762787,5.254170229,6.18190909,1.271219887,2.589876241,3.514251559,5.931424787,0.939042065,-3.464915147,-4.594970418,5.693873901,0.721248917,-3.624223421,-3.322787143,5.428683082,0.60876925,-2.864248781,-1.21486011
S1,1756553275,1,6.18190909,1.271219887,2.589876241,3.514251559,5.931424787,0.939042065,-3.464915147,-4.594970418,5.693873901,0.721248917,-3.624223421,-3.322787143,5.428683082,0.60876925,-2.864248781,-1.21486011,4.666229741,0.934719209,-8.577876679,3.667055287
S1,1756553276,1,5.931424787,0.939042065,-3.464915147,-4.594970418,5.693873901,0.721248917,-3.624223421,-3.322787143,5.428683082,0.60876925,-2.864248781,-1.21486011,4.666229741,0.934719209,-8.577876679,3.667055287,4.09294515,1.628557644,-6.173534251,7.471743364
S1,1756553278,0,5.693873901,0.721248917,-3.624223421,-3.322787143,5.428683082,0.60876925,-2.864248781,-1.21486011,4.666229741,0.934719209,-8.577876679,3.667055287,4.09294515,1.628557644,-6.173534251,7.471743364,3.772002121,1.740114939,-4.754636304,1.65267451
